epoch,recall10,mrr10,avg_rate,loss
1,0.43630017452,0.307560458738,124.356020942,4.44452242851
2,0.469458987784,0.323689021857,124.607329843,3.33643181324
3,0.455497382199,0.311499626028,127.685863874,2.54391713142
4,0.450261780105,0.308522396742,129.277486911,1.73414405584
5,0.443280977312,0.302244522009,129.780104712,1.0516581893
6,0.44502617801,0.304152469597,130.434554974,0.455503487587
7,0.439790575916,0.297194520624,130.602094241,3.93773456812
8,0.425828970332,0.297406437851,130.371727749,3.27631443739
9,0.432809773124,0.290266350868,130.853403141,2.64587550163
10,0.429319371728,0.281574281836,131.094240838,2.00558736324
11,0.420593368237,0.284790437408,131.235602094,1.34941878319
12,0.417102966841,0.274262444943,131.596858639,0.603376722336
13,0.404886561955,0.282462810604,136.748691099,4.43566850424
14,0.396160558464,0.257818083603,138.764397906,2.83445298672
15,0.408376963351,0.253040942962,135.90052356,1.59926491976
16,0.404886561955,0.260201806144,135.706806283,0.475474739075
17,0.404886561955,0.259987811297,135.994764398,3.49500558376
18,0.403141361257,0.259860383944,135.654450262,2.49090540409
19,0.396160558464,0.240379234882,137.712041885,1.4783886075
20,0.378708551483,0.236226765284,137.790575916,0.45750181675
21,0.378708551483,0.236855591568,137.136125654,3.44700917006
22,0.385689354276,0.240956120668,135.97382199,2.43916012049
23,0.389179755672,0.246787307128,136.314136126,1.46299080849
24,0.38219895288,0.252943987368,134.465968586,0.443703222275
25,0.385689354276,0.246637025956,134.607329843,3.38297798634
26,0.373472949389,0.242358514086,133.628272251,2.42077573538
27,0.368237347295,0.237138147871,135.743455497,1.48226026297
28,0.364746945899,0.233854123383,135.931937173,0.456064105034
29,0.378708551483,0.230774398183,135.848167539,3.41040151119
30,0.378708551483,0.224736142275,135.753926702,2.47068274021
31,0.380453752182,0.225065791296,136.706806283,1.50354118347
32,0.369982547993,0.229178093576,137.476439791,0.466531658173
33,0.356020942408,0.230060389484,138.64921466,3.48073092699
34,0.35427574171,0.21986689382,140.041884817,2.50678243637
35,0.352530541012,0.22516620959,140.183246073,1.52501544952
36,0.349040139616,0.233579185019,138.073298429,0.470047521591
37,0.364746945899,0.234356214854,139.052356021,3.52914583683
38,0.347294938918,0.227637192166,137.890052356,2.53995187283
39,0.44502617801,0.262054350536,115.078534031,1.55580921173
40,0.357766143106,0.226049890579,139.282722513,0.482657575607
41,0.350785340314,0.219572564337,137.821989529,3.5988699317
42,0.368237347295,0.214918003269,138.329842932,2.57708530426
43,0.359511343805,0.227159339594,138.356020942,1.56786724329
44,0.356020942408,0.215609158148,137.979057592,0.493522119522
45,0.356020942408,0.221274135018,136.586387435,3.67359136343
46,0.357766143106,0.228626139228,139.492146597,2.6402564764
47,0.368237347295,0.218647330951,136.958115183,1.60178883076
48,0.363001745201,0.228681542425,137.12565445,0.503434157372
49,0.363001745201,0.233647746475,135.722513089,3.76680648327
50,0.392670157068,0.236683149118,135.340314136,2.68558567762
