epoch,recall10,mrr10,avg_rate,loss,name
1,0.448516579407,0.284246101,129.308900524,5.734998703,additional
2,0.48167539267,0.303527798554,125.209424084,5.07921552658,additional
3,0.464223385689,0.280601263193,124.968586387,4.7618303299,additional
4,0.446771378709,0.272849663426,128.958115183,4.53891038895,additional
5,0.455497382199,0.273351754896,130.413612565,4.3810377121,additional
6,0.434554973822,0.26746655032,133.429319372,4.24103832245,additional
7,0.443280977312,0.267017091886,134.486910995,4.12606716156,additional
8,0.443280977312,0.267099504141,135.534031414,4.01946640015,additional
9,0.452006980803,0.268115460262,136.554973822,3.92199921608,additional
10,0.422338568935,0.256468323222,140.727748691,3.84187316895,additional
11,0.424083769634,0.252179423253,140.727748691,3.79088354111,additional
11,0.389179755672,0.211097260312,142.387434555,3.79088354111,additional_test
12,0.383944153578,0.235010665115,143.591623037,6.17868328094,additional
12,0.424083769634,0.233311864595,122.246073298,6.17868328094,additional_test
13,0.376963350785,0.227259065348,140.413612565,5.51343822479,additional
13,0.434554973822,0.231791739383,119.717277487,5.51343822479,additional_test
14,0.373472949389,0.21216030915,142.293193717,5.16384410858,additional
14,0.462478184991,0.25906950331,123.54973822,5.16384410858,additional_test
15,0.357766143106,0.202892739411,146.418848168,5.12213039398,additional
15,0.474694589878,0.278374747223,125.45026178,5.12213039398,additional_test
16,0.38219895288,0.221260284218,142.748691099,4.68807172775,additional
16,0.474694589878,0.277086622898,117.22513089,4.68807172775,additional_test
17,0.368237347295,0.211412365994,144.445026178,4.71579170227,additional
17,0.476439790576,0.295271337156,107.743455497,4.71579170227,additional_test
18,0.380453752182,0.219460372864,144.560209424,4.54204702377,additional
18,0.458987783595,0.279140003878,118.335078534,4.54204702377,additional_test
19,0.392670157068,0.217517105737,143.984293194,4.45493555069,additional
19,0.44502617801,0.297639131278,120.319371728,4.45493555069,additional_test
20,0.39092495637,0.21729133771,142.858638743,4.42476940155,additional
20,0.373472949389,0.232338153411,134.560209424,4.42476940155,additional_test
21,0.385689354276,0.231716252528,142.19895288,4.46352720261,additional
