epoch,recall10,mrr10,ndcg,avg_rate,loss,name
1,0.701710816777,0.379908371001,0.456378279507,352.226655629,6.64268112183,additional
2,0.747406181015,0.428691395984,0.504806570243,302.360761589,6.46371650696,additional
3,0.768874172185,0.450465328147,0.526586371982,281.805794702,6.37955236435,additional
4,0.779028697572,0.466696822769,0.541613486086,269.938741722,6.32415676117,additional
5,0.783278145695,0.476803913066,0.550370652754,262.141887417,6.28010320663,additional
6,0.789017660044,0.481531106556,0.555431328406,256.457119205,6.24398899078,additional
7,0.793874172185,0.48581255037,0.559869507078,252.069536424,6.21372365952,additional
8,0.796081677704,0.491450252286,0.56471303793,248.584933775,6.1872177124,additional
9,0.800772626932,0.492192285119,0.566378567752,245.755298013,6.16354799271,additional
10,0.802041942605,0.498445810995,0.571396804125,243.385264901,6.14208078384,additional
11,0.803918322296,0.499860497915,0.573018500612,241.376986755,6.12199544907,additional
12,0.805518763797,0.502725875118,0.5756102469,239.621357616,6.10291051865,additional
13,0.809713024283,0.503941339045,0.57753644413,238.149834437,6.0848236084,additional
14,0.808057395143,0.505254739129,0.578165399488,236.870695364,6.06776189804,additional
15,0.81059602649,0.507007778829,0.580039201154,235.714900662,6.0517039299,additional
16,0.810816777042,0.506589382074,0.579825542646,234.701490066,6.03661632538,additional
17,0.814348785872,0.511545056764,0.584380570785,233.811423841,6.0223069191,additional
18,0.813631346578,0.509990604962,0.583103065863,233.009271523,6.00858688354,additional
19,0.812306843267,0.510308766074,0.583135618949,232.270860927,5.99548959732,additional
20,0.815673289183,0.511170941519,0.584480204353,231.707450331,5.98295211792,additional
21,0.816556291391,0.515191317145,0.587787704603,231.114900662,5.9709444046,additional
22,0.814735099338,0.510992895687,0.584281229324,230.606622517,5.95913600922,additional
23,0.816280353201,0.512068813729,0.585439127342,230.128476821,5.94781017303,additional
24,0.817439293598,0.515457509899,0.588216515573,229.728807947,5.93622255325,additional
25,0.817328918322,0.514317512877,0.587375755352,229.28410596,5.92524719238,additional
26,0.818929359823,0.51558989453,0.58864822422,228.905960265,5.91432905197,additional
27,0.819260485651,0.517611470269,0.590301667505,228.526490066,5.90374898911,additional
28,0.819039735099,0.519110909632,0.591416758517,228.162086093,5.89343261719,additional
29,0.818763796909,0.518401463786,0.590865807752,227.887748344,5.88359069824,additional
